,Addresses
0,"American Legion Braman Post 1229, 1707 Penfield Rd"
1,"Church of the Assumption Fellowship Hall, 20 East Ave"
2,"David F Gantt Community Center, 700 North St"
3,"Dolomite Lodge at Veterans Memorial Park, 3100 Atlantic Ave"
4,"Empire State University, 680 Westfall Rd"
5,"Encounter Church, 3355 Union St"
6,"Engine 9, 740 N Goodman St"
7,"Fellows Rd Park Recreation Building, 499 Fellows Rd"
8,"Fire House No. 1 Meeting Room, 3100 East Ave"
9,"Frederick Douglass Mid School Gym, 940 Fernwood Park"
10,"Grace Church of the Nazarene, 2924 Union St"
11,"Greek Orthodox Church, 835 South Ave"
12,"Hamlin Firemen's Exempt Building, 1382 Lake Rd"
13,"Henrietta Fire District Station 1, 3129 East Henrietta Rd"
14,"Kidanemehret Ethiopian Orthodox Church, 120 Ontario St"
15,"Kimball Park Lodge, 8000 West Ridge Rd"
16,"Kings Bend Park South Lodge, 170 West Jefferson Rd"
17,"Legacy at Park Crescent Front Living Room, 1000 Providence Circle"
18,"Lutheran Church of the Incarnate Word Upper Level Church Narthex, 597 East Ave"
19,"Mountain Raise United Church of Christ, 2 Mountain Rise"
20,"Mumford Community Building Meeting Room, 1013 Main St"
21,"New Light United Methodist Church, 2009 Dewey Ave"
22,"No. 34 School Gym, 530 Lexington Ave"
23,"Our Lady Queen of Peace Church, 601 Edgewood Ave"
24,"PT Pleasant Firemans Assn Main hall, 55 Ewer Ave"
25,"School Without Walls, 480 Broadway"
26,"Seymour Library Duryea Rm, 161 East Ave"
27,"St Lawrence Church Deacon Hall, 1000 North Greece Rd"
28,"St Paul Blvd Fire House, 433 Cooper Rd"
29,"Villages at Unity Village Square Room, 1471 Long Pond Rd"
30,"Webster Justice Court Building, 1002 Ridge Rd"
31,"Webster Village Community Meeting Center Large Meeting Room, 29 South Ave"
32,"Wheatland Municipal Bldg Senior Ctr, 22 Main St"
33,"William Warfield Community Center, 100 William Warfield Dr"
